Account Name,Primary Industry,Annual Revenue,Number of Employees,Monthly Cloud Spend,Relevant Technologies in Use,Primary Cloud Hosting,Secondary Cloud Hosting,Container Orchestration Tools,PostgreSQL/MySQL Alternatives in Use,Kafka Alternatives in Use,OpenSearch Alternatives in Use
Le Groupe la Poste,Construction,USD 34 000 000 000,238000,,,,,,,,
Leica Biosystems,Manufacturing,USD 320 000 000,1500,USD 38 000,,"Docker, Inc.",Platform.sh,"Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Apache Solr; Apache Lucene
Leica Geosystems,Manufacturing,USD 1 222 070 000,4500,USD 63 400,PostgreSQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,,Elasticsearch
LendingClub,Software,USD 1 187 216 000,1800,USD 812 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Apache Cassandra; Grafana; MongoDB; HashiCorp Terraform; Datadog; Prometheus; Snowflake; Snowflake; Apache Kafka; Apache Kafka; Apache Flink,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
LendingTree,Finance,USD 1 108 927 000,1407,USD 903 600,PostgreSQL; MySQL; Redis; InfluxDB; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Couchbase; Snowflake; Apache Kafka,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch
LendLease,Construction,USD 6 774 172 000,12000,USD 82 400,Redis; Couchbase,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL,,
Lenovo,Manufacturing,USD 71 618 216 000,77000,USD 2 178 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Lenskart Solutions,Retail,USD 1 055 556 000,5000,USD 209 800,MySQL; Redis; Apache Cassandra; MongoDB; Apache Kafka,Amazon EC2,Amazon Simple Email Service (SES),,MySQL; Amazon Aurora,Apache Kafka,Elasticsearch
LEONI,Manufacturing,USD 5 590 958 000,100000,USD 19 800,PostgreSQL; MySQL,cyon,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,Apache Solr; Apache Lucene
Leonteq,Finance,USD 435 195 000,608,USD 30 300,PostgreSQL; Apache Cassandra; Grafana; Kubernetes; Docker; Jenkins; Prometheus; Apache Kafka,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch
Leviton,Manufacturing,USD 1 830 891 000,7500,USD 30 900,MySQL; MongoDB; Apache Kafka,Amazon EC2,Oracle,,MySQL,Apache Kafka,Apache Solr
LexisNexis,Software,USD 3 124 291 000,11300,USD 1 349 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,H. A. Storage Systems,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
LG Electronics,Manufacturing,USD 64 198 097 000,74000,USD 1 587 900,PostgreSQL; MySQL; Redis; MongoDB; MariaDB; Kubernetes; HashiCorp Terraform; Jenkins; Jenkins; Datadog; Splunk; Apache Flink,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Microsoft Azure HDInsight,Elasticsearch
Liberty Mutual Insurance,Insurance,USD 42 416 168 000,50000,USD 614 400,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk,LG Uplus,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Life.Church,Organizations,USD 286 534 000,4298,USD 236 900,PostgreSQL; Redis; InfluxDB; Grafana; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Couchbase,SoftLayer an IBM Company,Netlify,"Kubernetes; Docker, Inc.",PostgreSQL,,Elasticsearch; Apache Solr
Lifespan,Organizations,USD 2 807 648 000,17005,USD 47 000,MySQL,Rackspace,"Acquia, Inc.",,MySQL,,
Life Time,Hospitality,USD 2 216 593 000,42000,USD 361 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Apache Cassandra; Kubernetes; Docker; Snowflake; Splunk; Apache Kafka,Lumen Technologies,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
LifeWay,Media & Internet,USD 848 758 000,4802,USD 88 700,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins; Snowflake; Splunk; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
LifeWorks,Software,USD 791 666 000,6000,USD 33 700,MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog,Amazon EC2,Pantheon Platform,,MySQL,,Elasticsearch
lightspeedhq.com,Software,USD 812 284 000,3000,USD 415 600,MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Lime,Retail,USD 466 000 000,1000,USD 33 700,MySQL; Redis; Kubernetes; Docker; Snowflake; Apache Kafka; Apache Flink,Snowflake Computing,Kubernetes,Kubernetes,MySQL,Apache Kafka,
LinkedIn,Media & Internet,USD 10 000 000 000,9400,USD 14 747 100,,Amazon EC2,China Telecom,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Linklaters,Law Firms & Legal Services,USD 2 350 490 000,8765,USD 46 800,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Splunk,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,
Linköping University,Business Services,USD 498 688 000,4000,USD 9 800,PostgreSQL; MySQL; MongoDB; Docker; Jenkins,Google Compute Engine,Microsoft Azure,,MySQL; PostgreSQL,,
Linx,Software,USD 840 206 000,4000,USD 86 100,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Jenkins,Microsoft Azure,Amazon EC2,,MySQL; PostgreSQL,,Elasticsearch
Liquidity Services,Business Services,USD 314 462 000,735,USD 263 400,MySQL; Redis; Jenkins; Splunk; Apache Kafka,Oracle,Amazon EC2,,MySQL; Amazon Relational Database Service,Apache Kafka,Apache Solr; Apache Lucene
Live Nation Entertainment,Hospitality,USD 7 780 646 000,11000,USD 2 206 000,,Amazon EC2,Snowflake Computing,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Live Oak Bank,Finance,USD 433 584 000,984,USD 41 000,MySQL; Grafana; HashiCorp Terraform; Prometheus; Splunk; Apache Kafka,Apiture,Amazon EC2,,MySQL,Apache Kafka,
LivePerson,Software,USD 516 124 000,1500,USD 233 300,PostgreSQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Kubernetes; Docker; HashiCorp Terraform; Datadog; Prometheus; Couchbase; Snowflake; Apache Flink,Amazon EC2,Platform.sh,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr
Livspace,Construction,USD 818 845 000,2210,USD 145 400,PostgreSQL; MySQL; Redis; Kubernetes; Jenkins,T-Mobile US,Amazon EC2,,MySQL; PostgreSQL,,Apache Solr
Lloyd's,Insurance,USD 451 861 000,1356,USD 20 500,Redis; HashiCorp Terraform; Jenkins,"Docker, Inc.",Oracle Cloud,"Docker, Inc.",,,
Lloyds Banking Group,Finance,USD 26 360 969 000,62569,USD 921 800,PostgreSQL; Redis; Apache Cassandra; Grafana; Kubernetes; Docker; HashiCorp Terraform; Prometheus; Snowflake; Splunk; Splunk,Oracle Cloud,Vodafone Group Public Limited Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
LMI,Business Services,USD 397 000 000,1800,USD 6 900,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Splunk; Apache Kafka,SingleHop LLC,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
LMI Aerospace,Manufacturing,USD 378 679 000,1500,USD 92 300,PostgreSQL,Amazon EC2,"Digital Ocean, Inc.",,PostgreSQL,,
Lockheed Martin,Manufacturing,USD 67 688 000 000,116000,USD 259 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Splunk; Apache Kafka; Apache Flink,Amazon EC2,"CyrusOne, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service; EnterpriseDB,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Logicalis,Business Services,USD 1 500 000 000,7000,USD 130 400,,"Acquia, Inc.",Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; EnterpriseDB,Apache Kafka,Elasticsearch
LogicMonitor,Software,USD 290 529 000,1100,USD 86 000,MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Snowflake; Apache Kafka,Amazon EC2,Kubernetes,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Long View Systems,Business Services,USD 316 846 000,1300,USD 31 000,MySQL; Kubernetes; HashiCorp Terraform; Jenkins; Splunk,"MongoDB, Inc.",Databricks,,MySQL,,
Looker,Software,USD 130 000 000,650,USD 748 500,,Amazon EC2,Google Compute Engine,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,,
Lovesac,Manufacturing,USD 688 605 000,769,USD 19 100,MySQL; Jenkins,Microsoft Azure,AWS Rekognition,,MySQL; Microsoft Azure SQL Database,,
LoyaltyOne,Business Services,USD 1 000 000 000,1900,USD 110 000,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
LSEG (London Stock Exchange Group),Finance,USD 10 482 714 000,24296,USD 333 000,PostgreSQL; MySQL; Redis; Redis; InfluxDB; Grafana; MongoDB; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch
LTIMindtree,Business Services,USD 4 249 685 000,82738,USD 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,,,MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Lucid Motors,Manufacturing,USD 608 181 000,5900,USD 200 700,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Lumenis,Manufacturing,USD 363 014 000,1500,USD 21 600,MySQL; MongoDB,Amazon EC2,"Level 3 Communications, Inc.",,MySQL,,
"Lumen Technologies, Inc.",Telecommunications,USD 19 022 000 000,45000,USD 429 900,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Internap Corp.,,MySQL; PostgreSQL,Confluent; Microsoft Azure HDInsight; Apache Kafka,Elasticsearch
Lumeris,Business Services,USD 292 489 000,1384,USD 67 700,MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,"Docker, Inc.","MongoDB, Inc.","Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Luminor Bank Latvia,Finance,USD 319 225 000,622,USD 31 100,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,TEO LT AB,Amazon EC2,,MySQL,Apache Kafka,Elasticsearch
Luminor Bank Lithuania,Finance,USD 334 712 000,1553,USD 443 800,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Telia Sverige,23 - The Visual Sharing Company,"Kubernetes; Docker, Inc.",MySQL,Apache Kafka,Elasticsearch
Luxoft,Business Services,USD 168 489 468 000,170000,USD 225 700,PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; InfluxDB; ClickHouse; Grafana; MongoDB; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Apache Kafka; Apache Flink,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Luxottica,Manufacturing,USD 21 725 672 000,80000,USD 88 900,PostgreSQL; MySQL; MongoDB; MongoDB; Kubernetes; Jenkins; Splunk; Apache Kafka,Microsoft Azure,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Lyft,Transportation,USD 4 403 589 000,5500,USD 6 365 000,PostgreSQL; MySQL; Redis; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Amazon S3,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
Lytx,Business Services,USD 259 021 000,800,USD 51 300,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,MySQL,Kubernetes,MySQL; PostgreSQL,Apache Kafka,Elasticsearch
M&T Bank,Finance,USD 6 105 778 000,11000,USD 367 400,,Snowflake Computing,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch; Apache Lucene
Macquarie Group,Finance,USD 12 085 417 000,21270,USD 300 900,PostgreSQL; MySQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,Amazon Redshift,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Aurora; Amazon Relational Database Service,Confluent; Apache Kafka,Elasticsearch; Apache Solr
Macy's,Retail,USD 25 966 000 000,89000,USD 4 403 000,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Apache Kafka,Oracle,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Maersk,Transportation,USD 68 639 998 000,110000,USD 791 600,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka; Apache Kafka; Apache Flink,Amazon EC2,LG Uplus,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Confluent; Apache Kafka,Elasticsearch
Magic Leap,Manufacturing,USD 400 000 000,1300,USD 46 400,PostgreSQL; MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus,Kubernetes,"Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,,Elasticsearch
Magine AB,Business Services,USD 53 000 000,150,,,,,,,,
Mail chimp,Software,USD 345 039 000,1500,USD 5 492 800,PostgreSQL; MySQL; Redis; Kubernetes; Docker; Jenkins; Snowflake; Apache Kafka,Amazon EC2,Rackspace,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
MakeMyTrip,Hospitality,USD 728 160 000,4090,USD 660 200,MySQL; Redis; Apache Cassandra; MongoDB; Kubernetes; Docker; Jenkins; Couchbase; Splunk,Amazon EC2,"MongoDB, Inc.",,MySQL,,Elasticsearch
Manchester City Council,Government,USD 1 759 896 000,12477,USD 11 400,MySQL,Amazon EC2,Microsoft Azure,,MySQL,,
Mandiant,Software,USD 498 911 000,5500,USD 217 500,PostgreSQL; MySQL; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Splunk; Apache Kafka; Apache Flink,Amazon EC2,SoftLayer an IBM Company,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database; Amazon Relational Database Service,Apache Kafka,Elasticsearch
Man Group,Finance,USD 1 351 000 000,1655,USD 30 300,PostgreSQL; Redis; InfluxDB; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Apache Kafka; Apache Flink,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
MANN+HUMMEL,Manufacturing,USD 4 281 460 000,23000,USD 70 900,PostgreSQL; MySQL; Redis; Kubernetes; Docker; HashiCorp Terraform; Jenkins,SoftLayer an IBM Company,Microsoft Azure,"Docker, Inc.",MySQL; PostgreSQL,,Apache Solr
ManoMano,Media & Internet,USD 279 334 000,870,USD 306 600,PostgreSQL; MySQL; Redis; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Snowflake; Apache Kafka,Snowflake Computing,iliad S.A.,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,
ManTech International,Business Services,USD 2 596 277 000,9800,USD 179 300,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Snowflake; Splunk; Apache Kafka; Apache Flink,Lumen Technologies,Oracle,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service; EnterpriseDB,Confluent; Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Manulife,Insurance,USD 34 400 000 000,40000,USD 665 800,PostgreSQL; Redis; Redis; Grafana; MongoDB; Kubernetes; Kubernetes; Jenkins; Splunk; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch; Apache Solr
Manuvie,Insurance,USD 1 991 587 000,1749,USD 665 800,PostgreSQL; MySQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Apache Kafka,Amazon EC2,Lumen Technologies,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
Marie Curie,Healthcare Services,USD 299 374 000,4234,USD 10 200,MySQL,Amazon EC2,Microsoft Azure,,MySQL,,
Marks and Spencer,Retail,USD 16 039 820 000,64000,USD 402 000,PostgreSQL; PostgreSQL; MongoDB; Jenkins; Datadog; Splunk; Splunk; Apache Kafka; Apache Kafka,Amazon EC2,Databricks,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,
Marshalls,Manufacturing,USD 818 837 000,3112,USD 45 600,MySQL,Amazon EC2,Rackspace,,MySQL,,
Marvell Technology,Manufacturing,USD 5 919 600 000,7418,USD 89 700,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka,Amazon EC2,Veeam Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Apache Lucene
MathWorks,Software,USD 1 380 914 000,6000,USD 1 176 100,MySQL; MySQL; Redis; Grafana; MongoDB; MongoDB; MariaDB; Kubernetes; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Splunk; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Mattel,Manufacturing,USD 5 624 850 000,36300,USD 208 000,PostgreSQL; MySQL; Apache Cassandra; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Couchbase; Snowflake; Splunk; Apache Kafka; Apache Flink,Amazon EC2,CyberArk Software,"Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Confluent; Apache Kafka,Apache Solr; Apache Lucene
Maxar Technologies,Manufacturing,USD 1 605 000 000,4600,USD 117 400,PostgreSQL; MySQL; Redis; Grafana; MongoDB; Kubernetes; Docker; Docker; HashiCorp Terraform; Prometheus; Splunk; Apache Kafka; Apache Flink,Amazon EC2,CyberArk Software,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Lucene
Maxim Healthcare,Healthcare Services,USD 513 807 000,3449,USD 1 600,PostgreSQL; Redis; Jenkins,Microsoft Azure,AWS Rekognition,,PostgreSQL,,Elasticsearch
MAXIMUS,Healthcare Services,USD 4 904 728 000,40000,USD 130 100,PostgreSQL; MySQL; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,MySQL,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Microsoft Azure SQL Database; Amazon Aurora; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
MaxLinear,Manufacturing,USD 1 120 252 000,1844,USD 8 200,PostgreSQL; MySQL; Grafana; Docker; Jenkins,"Level 3 Communications, Inc.","Docker, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,,
Mayne Pharma,Manufacturing,USD 269 704 000,971,USD 26 900,MySQL,Lumen Technologies,Rackspace,,MySQL,,
Mayo Clinic,Hospitals & Physicians Clinics,USD 19 800 000 000,76000,USD 2 035 800,PostgreSQL; MySQL; Redis; MongoDB; HashiCorp Terraform; Splunk,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
Mayo Foundation,Organizations,USD 751 301 000,76000,USD 2 035 800,PostgreSQL; MySQL; MongoDB; MariaDB; Docker; HashiCorp Terraform; Jenkins; Snowflake; Splunk; Apache Kafka,Amazon EC2,Oracle Cloud,"Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL,Apache Kafka,Elasticsearch
MBC Group,Holding Companies & Conglomerates,USD 669 248 000,6784,USD 891 900,MySQL; MongoDB; Docker; Jenkins,Amazon EC2,Microsoft Azure,"Docker, Inc.",MySQL,,
McAfee,Software,USD 1 920 000 000,6900,USD 1 969 100,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; MariaDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Couchbase; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; MariaDB; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
McGraw-Hill Education,Media & Internet,USD 4 064 087 000,5455,USD 879 200,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Datadog; Prometheus; Couchbase; Snowflake; Splunk; Apache Kafka,Amazon EC2,Teradata,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Amazon Relational Database Service,Apache Kafka,Elasticsearch; Apache Solr; Apache Lucene
McKinsey & Company,Business Services,USD 12 500 000 000,45000,USD 1 528 500,MySQL; Redis; Apache Cassandra; Apache Cassandra; Grafana; MongoDB; Kubernetes; Jenkins; Jenkins; Prometheus; Snowflake; Apache Flink,Amazon EC2,Rackspace,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch; Apache Lucene
McLaren Group,Manufacturing,USD 1 052 545 000,4159,USD 170 700,PostgreSQL; MySQL; MongoDB; Kubernetes; Docker; Jenkins; Splunk; Apache Kafka,Amazon EC2,Microsoft Azure,"Kubernetes; Docker, Inc.",MySQL; PostgreSQL; Microsoft Azure SQL Database,Apache Kafka,Elasticsearch
MDA,Manufacturing,USD 598 222 000,3000,USD 15 100,PostgreSQL; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Snowflake; Apache Kafka,Lumen Technologies,Amazon EC2,"Kubernetes; Docker, Inc.",PostgreSQL,Apache Kafka,Elasticsearch
Measurabl,Software,USD 52 513 000,250,USD 10 300,MySQL; Docker; Jenkins; Snowflake,"Docker, Inc.",Amazon Redshift,Docker,MySQL,,
Medallia,Software,USD 630 155 000,2600,USD 677 700,PostgreSQL; MySQL; Redis; Apache Cassandra; Grafana; MongoDB; Kubernetes; Docker; HashiCorp Terraform; Jenkins; Prometheus; Splunk; Apache Kafka,Amazon EC2,"MongoDB, Inc.","Kubernetes; Docker, Inc.",MySQL; PostgreSQL,Apache Kafka,Elasticsearch
Media.net,Business Services,USD 437 170 000,1319,USD 542 200,PostgreSQL; MySQL; Redis; Kubernetes; HashiCorp Terraform; Prometheus,Google Compute Engine,Reliance Industries,,MySQL; PostgreSQL,,
Media24,Media & Internet,USD 310 057 000,5006,USD 553 400,MySQL; Redis; MongoDB; Docker; Jenkins,Firebase,Amazon EC2,"Kubernetes; Docker, Inc.",MySQL,,Elasticsearch; Apache Lucene
Mediacorp Pte Ltd,Media & Internet,USD 1 100 000 000,5500,USD 281 100,MySQL; Jenkins,Amazon EC2,"Acquia, Inc.","Kubernetes; Docker, Inc.",MySQL,,
